TestClass,RefactoredMethod
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeEdgeFromTouchingVertices
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.DoublyLinkedList.linkLast
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.removeEdgeFromTouchingVertices
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.DoublyLinkedList.moveFrom
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.graph.DirectedAcyclicGraph.<init>
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.analyzeCircuits
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.DoublyLinkedList.invert
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.UnmodifiableUnionSet.size
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.DoublyLinkedList.addElementLast
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.DoublyLinkedList.addLast
jacoco_org_jgrapht_alg_util_FixedSizeIntegerQueueTest,org.jgrapht.util.UnmodifiableUnionSet.orderSetsBySize
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.CrossComponentIterator.<init>
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeFromIndex
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.tour.TwoOptHeuristicTSP.<init>
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.moveAllListNodes
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.removeFromIndex
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.CrossComponentIterator.selectOutgoingEdges
